provincia_id,departamento_id,a�o,mes,modelo,actividad,margen_bruto_($/ha),resultado_neto_($/ha),ingreso_neto_($/ha),gastos_directos_($/ha),costos_indirectos_($/ha),'eficiencia_stock_(\%)',producci�n_(kg/ha),'destete_(\%)',carga_(kg/ha)
22,126,2017,11,'chaco-formosa este',cria,606,188,814,209,418,23,28,60,122
22,36,2017,11,'chaco-formosa este',cria,606,188,814,209,418,23,28,60,122
22,39,2017,11,'chaco-formosa este',cria,606,188,814,209,418,23,28,60,122
22,168,2017,11,'chaco-formosa este',cria,606,188,814,209,418,23,28,60,122
22,14,2017,11,'chaco-formosa este',cria,606,188,814,209,418,23,28,60,122
22,21,2017,11,'chaco-formosa este',cria,606,188,814,209,418,23,28,60,122
22,43,2017,11,'chaco-formosa este',cria,606,188,814,209,418,23,28,60,122
22,56,2017,11,'chaco-formosa este',cria,606,188,814,209,418,23,28,60,122
22,70,2017,11,'chaco-formosa este',cria,606,188,814,209,418,23,28,60,122
22,77,2017,11,'chaco-formosa este',cria,606,188,814,209,418,23,28,60,122
22,84,2017,11,'chaco-formosa este',cria,606,188,814,209,418,23,28,60,122
22,91,2017,11,'chaco-formosa este',cria,606,188,814,209,418,23,28,60,122
22,98,2017,11,'chaco-formosa este',cria,606,188,814,209,418,23,28,60,122
22,112,2017,11,'chaco-formosa este',cria,606,188,814,209,418,23,28,60,122
22,133,2017,11,'chaco-formosa este',cria,606,188,814,209,418,23,28,60,122
22,147,2017,11,'chaco-formosa este',cria,606,188,814,209,418,23,28,60,122
34,14,2017,11,'chaco-formosa este',cria,606,188,814,209,418,23,28,60,122
34,21,2017,11,'chaco-formosa este',cria,606,188,814,209,418,23,28,60,122
34,42,2017,11,'chaco-formosa este',cria,606,188,814,209,418,23,28,60,122
34,49,2017,11,'chaco-formosa este',cria,606,188,814,209,418,23,28,60,122
34,56,2017,11,'chaco-formosa este',cria,606,188,814,209,418,23,28,60,122
14,7,2017,11,'cordoba norte',cria,643,177,843,200,466,29,30,65,103
14,14,2017,11,'cordoba norte',cria,643,177,843,200,466,29,30,65,103
14,21,2017,11,'cordoba norte',cria,643,177,843,200,466,29,30,65,103
14,28,2017,11,'cordoba norte',cria,643,177,843,200,466,29,30,65,103
14,49,2017,11,'cordoba norte',cria,643,177,843,200,466,29,30,65,103
14,70,2017,11,'cordoba norte',cria,643,177,843,200,466,29,30,65,103
14,77,2017,11,'cordoba norte',cria,643,177,843,200,466,29,30,65,103
14,91,2017,11,'cordoba norte',cria,643,177,843,200,466,29,30,65,103
14,112,2017,11,'cordoba norte',cria,643,177,843,200,466,29,30,65,103
14,126,2017,11,'cordoba norte',cria,643,177,843,200,466,29,30,65,103
14,133,2017,11,'cordoba norte',cria,643,177,843,200,466,29,30,65,103
14,147,2017,11,'cordoba norte',cria,643,177,843,200,466,29,30,65,103
14,154,2017,11,'cordoba norte',cria,643,177,843,200,466,29,30,65,103
14,168,2017,11,'cordoba norte',cria,643,177,843,200,466,29,30,65,103
14,175,2017,11,'cordoba norte',cria,643,177,843,200,466,29,30,65,103
18,7,2017,11,'corrientes noroeste',cria,767,344,1164,397,423,21,43,60,205
18,21,2017,11,'corrientes noroeste',cria,767,344,1164,397,423,21,43,60,205
18,28,2017,11,'corrientes noroeste',cria,767,344,1164,397,423,21,43,60,205
18,42,2017,11,'corrientes noroeste',cria,767,344,1164,397,423,21,43,60,205
18,63,2017,11,'corrientes noroeste',cria,767,344,1164,397,423,21,43,60,205
18,70,2017,11,'corrientes noroeste',cria,767,344,1164,397,423,21,43,60,205
18,84,2017,11,'corrientes noroeste',cria,767,344,1164,397,423,21,43,60,205
18,126,2017,11,'corrientes noroeste',cria,767,344,1164,397,423,21,43,60,205
18,140,2017,11,'corrientes noroeste',cria,767,344,1164,397,423,21,43,60,205
18,154,2017,11,'corrientes noroeste',cria,767,344,1164,397,423,21,43,60,205
18,161,2017,11,'corrientes noroeste',cria,767,344,1164,397,423,21,43,60,205
82,49,2017,11,'corrientes noroeste',cria,767,344,1164,397,423,21,43,60,205
6,854,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,14,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,42,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,49,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,119,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,134,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,168,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,217,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,238,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,287,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,301,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,308,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,322,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,329,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,336,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,315,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,343,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,441,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,448,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,455,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,483,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,505,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,511,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,518,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,525,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
6,547,2017,11,'cuenca del salado',cria,2496,1502,2900,404,995,31,92,72,293
